CONFIG_ID,NUMBER_OF_PRODUCT_SOLD,GMII,NUMBER_OF_VISIT
80017737-C,1212,0.08762682297943901,3539
80040185-C,462,0.042387798374553,551
80021731-C,117,0.030478233168348,64
80014956-C,402,0.239988780855422,392
80033924-C,47,0.289035564718085,164
80034398-C,255,0.037773468579456,543
80029604-C,108,0.29359805696014196,439
80027256-C,34,0.13615606651287,178
80025870-C,158,0.149662081742279,353
80043267-C,39,0.127327213353124,110
80011358-C,62,0.295269262749305,106
80029973-C,179,0.346571877595119,258
80018482-C,241,0.188710123119477,586
80003030-C,263,0.15523219774692001,598
80031717-C,1254,0.166961940388731,3692
30105356,355,0.30077235321774104,697
80033986-C,320,0.179101124589748,692
80010441-C,100,0.032317846495043,174
80012044-C,361,0.22322533799841798,870
80001561-C,39,0.2747974797989,154
80020686-C,808,0.18378759735223302,2655
80022760-C,6344,0.202137490249851,18821
70002866,569,0.29447628653238395,1211
70002380,1176,0.119071706390501,1434
80022668-C,476,0.105810737729866,543
80022943-C,451,0.113843328101773,753
40800045-C,78,0.064197885147685,235
80036472-C,199,0.33964515672754303,262
80044308-C,45,0.174300608743666,641
80038020-C,128,0.19323350999605898,301
80007243-C,1063,0.18065552799066398,1710
80040570-C,276,0.022211422493978998,1194
80036094-C,950,0.08986836650175697,3229
80041580-C,184,0.23922340143063398,3259
80011559-C,1662,0.011601364565868999,3382
80016332-C,443,0.12734073955157,1032
80025106-C,107,0.379458684476318,576
80045055-C,70,0.038439950555987,867
80042915-C,241,0.16098080823046698,1573
80018077-C,435,0.18478275380783,1341
80027717-C,1507,0.23599342844805804,1833
80036814-C,356,0.0006368162043200001,724
80035629-C,90,0.060145056027858,135
80043851-C,183,0.141344917933706,1049
80026350-C,402,0.166950204914353,1323
80039622-C,35,0.032595492916226,323
80036763-C,230,0.18174114620279502,562
80009500-C,189,0.142966700571303,478
80036385-C,723,0.252879099846006,2700
80017187-C,250,0.04681193133631299,430
80009459-C,222,0.23769499856013,897
80043908-C,45,0.128118389268269,134
80023293-C,173,0.068088079774152,225
80044874-C,588,0.235973383731953,901
80015909-C,187,0.17954165028894498,773
80007837-C,9931,0.054737835955938,5324
80003169-C,173,0.001928315579012,268
30160135,269,0.24921684061841604,170
30160126,120,0.20935582267340197,93
80021221-C,225,0.206044631415873,200
80033217-C,58,0.25815435221767297,172
50500016,2425,0.17730830561007999,3485
80018232-C,130,0.207337562551102,404
80014411-C,680,0.065870655211053,1330
80041319-C,167,0.092094964909208,188
80046091-C,57,0.11099513399305802,262
80009432-C,547,0.21298442256536604,1478
80044734-C,322,-0.014913301046856002,991
50004607,111,0.280622793988576,469
80033220-C,655,0.243520972190531,3100
30103556,876,0.143957556475444,1171
80044660-C,93,0.206924263922958,623
80013186-C,4896,0.05539096444277299,5589
80018259-C,313,0.141041625141823,422
80044843-C,13,0.047312184554975,39
80015933-C,809,0.17418880489156197,1300
80045276-C,115,0.110257437351224,453
80029186-C,176,0.241524450914305,208
50002476,590,0.21238242947705202,671
80006269-C,69,0.147480734093212,207
80007851-C,2102,0.026767962526404,3308
80012371-C,328,0.251687963070222,272
80026291-C,136,0.213832121286628,173
80033027-C,752,0.111864968936917,1492
50002688,260,0.091879631111813,625
80012320-C,231,-0.040733440500855006,333
50005170,128,0.198856714237915,330
80029381-C,636,0.08665520656296101,745
50005163,739,0.17328904527937802,655
80044189-C,129,0.269405705896891,254
80040317-C,463,0.176920208593487,1645
80033942-C,129,0.273300675484888,325
80023892-C,287,0.19572406592731897,363
80005918-C,1202,0.30265401475667103,1128
80042059-C,99,0.264843855831758,157
80013124-C,289,0.054927503435653,810
80039412-C,91,0.09151153407633601,445
80009328-C,1033,0.169188271399192,3407
80041348-C,480,0.272255748573639,697
80043866-C,78,0.21249805880467898,222
80016045-C,610,0.20831372515232702,590
80029691-C,379,0.14724104644706698,619
80024636-C,1449,0.12531078997345402,3019
80001889-C,848,0.3889595293816529,25288
80039741-C,103,-0.538889992722923,182
80039962-C,104,0.163322934529887,366
80046802-C,126,0.069586043071539,226
80025490-C,444,0.154176595686118,1923
80004692-C,235,0.14955240386302301,898
80008326-C,1132,0.188651708982118,1727
80011093-C,3568,0.0847646815288,8972
80027422-C,268,0.020644437177786,501
80033387-C,560,0.103792716464765,1752
80008791-C,196,0.103855505322405,281
80025027-C,40,0.15155429705476,168
80036502-C,63,0.18559946866343902,177
80007424-C,1244,0.13441633025716002,1531
50004620,172,0.229207230646018,572
80023917-C,109,0.35205292027240903,1582
80042374-C,74,0.012144374089642,524
80009515-C,82,0.129442084983907,151
80037786-C,390,-0.11666526431806,1263
80022187-C,787,0.100686482721711,2892
80045543-C,138,-0.22053471505422398,284
30103722,509,0.207835498260374,635
80034071-C,258,0.124620390123059,794
80042595-C,131,0.141611506601024,116
80015273-C,68,0.19626040221879396,202
80021724-C,365,0.24242668411171697,52
80022766-C,493,0.075979947011717,148
80028541-C,114,0.26400336145115194,147
80022945-C,86,0.055284328234217,257
80039461-C,154,0.067650130718665,249
80038665-C,36,0.30349812248376196,96
80042635-C,207,0.14162946696451,661
80032326-C,231,0.09882639125240199,259
80000856-C,330,0.224270639586238,687
80034322-C,911,0.157324297291568,1649
80024619-C,423,0.186430345232538,1219
80039845-C,74,-0.33746536472128497,131
80027970-C,879,-0.054561883690815,480
70100012,1098,0.31559290859154904,1684
80027878-C,293,0.17402354614891197,833
80004643-C,2510,0.16619116222805702,7006
80007755-C,433,0.086001268211543,670
80036138-C,1824,0.175502936503655,4087
80012154-C,293,0.141647354569879,471
30103862,297,0.302233617929993,437
80045259-C,139,0.123207616063386,662
80023286-C,699,0.040372642734342996,778
80029447-C,749,0.099842629193073,1001
80018174-C,109,0.18103996092581898,254
80046148-C,1179,0.039192709761018,5515
80042669-C,181,0.049829438073514996,731
80028207-C,201,0.18605490960098103,604
50500014,3619,0.09619639190113699,5487
80044997-C,140,0.164682126647064,505
50003166,168,0.277641376928742,432
80020266-C,533,0.35228427218502,1158
80007214-C,431,0.131803236680525,574
80005745-C,201,0.254478285944745,329
80001130-C,1047,0.148846911493866,1173
80034497-C,170,0.01853711225082,262
80020332-C,69,0.031949061487448,292
80027559-C,161,0.037523204390640996,232
80042598-C,634,0.16372409090757198,610
80001512-C,236,0.116783670449171,1017
80011029-C,487,0.14981738786243698,927
80031630-C,190,0.114805085130569,91
70002346,1297,0.161556460265014,931
80016926-C,5509,0.12919778990094802,10764
80015938-C,536,0.09587164620185999,2648
80013180-C,164,-0.005912344594443,287
50003155,337,0.243943810804585,658
80045221-C,82,0.07812364006191,143
40005112-C,88,0.153307745871914,90
80004844-C,800,0.09839546782186401,2809
70002115,5979,0.187181076944018,7853
80046420-C,169,0.22335615683439602,790
80011806-C,938,0.183463434277966,1897
80029379-C,3645,0.07512966660298,11995
80028844-C,132,0.189334569562308,158
80015001-C,127,0.158726255858816,284
30103149,17661,0.152554379204936,14626
80024630-C,559,0.12882261237457102,1857
80012460-C,343,0.101263729148525,185
80013173-C,2026,0.08938767224953599,2163
80026137-C,545,-0.038804679643948,2034
80046398-C,64,0.193252428378443,438
80045386-C,85,-0.104133772576509,228
80025496-C,96,0.2900932796642561,686
80012534-C,220,0.081994154153832,352
80007687-C,124,-0.018243020800512,197
80044327-C,1087,0.16475490124491698,1676
80025070-C,250,0.261615543409496,446
80007364-C,584,0.056027363949214995,548
80030392-C,4399,0.200087824288848,7071
80043510-C,99,0.171034502378416,160
80006723-C,734,0.11359067311732901,1376
80044790-C,73,0.06854647988790499,284
80045594-C,341,-0.42199451846746994,672
80034700-C,439,0.287378330053721,716
80029394-C,153,0.087530432213169,523
80037616-C,1491,0.17406452265705802,1905
50003388,95,0.160533420342977,331
80038603-C,1359,0.375174762600748,7062
80004369-C,280,0.255625655751884,414
80005772-C,238,0.158285106731514,432
80009392-C,2113,0.18583071208684304,2965
80045395-C,37,-0.00272475257987,201
80023242-C,874,0.079443877426868,1585
80014820-C,103,0.240311970894392,317
80006816-C,153,0.19513129635716897,136
80026178-C,1029,0.18176005387285898,4599
80040444-C,448,0.34360273923867096,497
80042149-C,13,0.009653449356437001,54
80027797-C,39,0.26137675591570897,191
80046123-C,10,0.021009404138859,208
50002474,3729,0.09548693538547098,4798
80034659-C,3894,0.21648047858167202,8612
80000892-C,117,0.20188196431485803,233
80011791-C,1521,0.271300740705847,4012
80044099-C,148,-0.3915448834342371,330
30150174,365,0.311393589515035,779
80013394-C,569,0.09962530794240801,509
80010761-C,192,0.079454401866907,472
50002219,4403,0.076804500953836,1537
80044624-C,615,-0.24022696167693,1554
80008905-C,531,0.075899978228808,780
80023703-C,130,0.239059777164042,422
50003310,3960,0.095114685268318,6634
80016938-C,456,0.23451770032024105,854
80040105-C,177,0.344091734205397,341
80003759-C,563,0.122698306502093,685
80043927-C,36,0.13869072840598498,297
80007473-C,553,0.139997152857326,727
80006937-C,207,0.101372658206751,497
80041122-C,584,0.22740413243034802,1456
80024554-C,154,0.127130689534628,229
80045603-C,296,-0.38803164280912505,369
80024983-C,351,0.23853850616997,678
80042900-C,61,0.18440937184009698,344
80037811-C,159,-0.17611455145153002,274
80023197-C,1150,0.297929175859799,1680
80021071-C,797,0.264514536631979,1562
80037919-C,244,0.12347681560571301,117
80008451-C,128,0.234871322754344,262
80037737-C,645,0.170971802880966,1558
80042951-C,28,0.124968783081599,195
80027916-C,68,0.130668860897251,219
80012952-C,3371,0.130122647698347,8461
80015012-C,63,0.178830531186698,158
30102696,174,0.18167273960118302,227
80034884-C,31,0.20165306893115803,102
50003143,263,0.24029230047486802,649
80042883-C,364,0.08883994709477902,760
